"Timestamp","Género","Rango de Edad","Frecuencia de Visitas","Calidad de Platos","Variedad del Menú","Presentación de Platos","Rapidez del Servicio","Ambientación del Restaurante","Atención del Personal","Recomendación a Amigos o Familiares","Platos Principales Preferidos","Postres Preferidos","Comentarios Adicionales"
"2024-01-31 12:00:00","a) Masculino","c) 26-35 años","b) Mensual","e) 5 (Muy satisfecho)","d) Buena","d) Cumplió","d) Rápida","d) Me gustó","e) Muy satisfactoria","d) Sí","a) Filete de Pescado a la Parrilla, c) Ensalada de Camarones","b) Flan, d) Pastel de Chocolate","¡Excelente servicio! Me encantó la variedad de platos y la atención del personal fue excepcional."
"2024-01-31 12:15:00","b) Femenino","e) Más de 50 años","c) Semanal","c) 3","b) Limitada","c) Neutral","b) Lenta","b) No me gustó","d) Satisfactoria","b) No estoy seguro/a","d) Tacos de Pescado, e) Pasta con Frutos del Mar","a) Tiramisú, e) Frutas frescas","La presentación de los platos podría mejorar, pero la atención fue amable. Consideraré volver."
"2024-01-31 12:30:00","c) Prefiero no decirlo","a) Menos de 18 años","a) Primera vez","b) 2","c) Aceptable","a) No cumplió para nada","c) Aceptable","c) Neutral","c) Aceptable","c) Tal vez","b) Paella de Mariscos","d) Pastel de Chocolate","¡Muy contento con mi primera visita! La paella estuvo deliciosa, pero el servicio podría ser un poco más rápido."
"2024-01-31 12:45:00","a) Masculino","d) 36-50 años","c) Semanal","e) 5 (Muy satisfecho)","e) Excelente","e) Cumplió totalmente","d) Rápida","e) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, f) Sushi","c) Helado, f) Otro (especifica) Cheesecake","Increíble experiencia. Todo estuvo perfecto, desde la comida hasta el servicio. ¡Volveré pronto!"
"2024-01-31 13:00:00","b) Femenino","b) 18-25 años","a) Primera vez","c) 3","a) Muy limitada","b) No cumplió","b) Lenta","c) Neutral","b) Insatisfactoria","c) Tal vez","c) Ensalada de Camarones, d) Tacos de Pescado","b) Flan, d) Pastel de Chocolate","La comida no cumplió mis expectativas, pero la ensalada de camarones estaba bien. Consideraré probar otros platos en el futuro."
"2024-01-31 13:15:00","b) Femenino","c) 26-35 años","d) Diaria","d) 4","d) Buena","d) Cumplió","e) Muy rápida","d) Me gustó","c) Aceptable","e) ¡Claro, absolutamente!","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","a) Tiramisú, e) Frutas frescas","Siempre disfruto de mi comida aquí. El servicio rápido es crucial para mí. Gracias por siempre cumplir."
"2024-01-31 13:30:00","c) Prefiero no decirlo","e) Más de 50 años","b) Mensual","b) 2","c) Aceptable","c) Neutral","a) Muy lenta","b) No me gustó","c) Aceptable","c) Aceptable","c) Ensalada de Camarones, f) Otro (especifica) Risotto","b) Flan, d) Pastel de Chocolate","El servicio fue extremadamente lento, y la presentación de los platos no fue la mejor. Necesitan mejorar en estos aspectos."
"2024-01-31 13:45:00","a) Masculino","d) 36-50 años","c) Semanal","e) 5 (Muy satisfecho)","e) Excelente","d) Cumplió","d) Rápida","e) Me gustó mucho","e) Muy satisfactoria","e) ¡Claro, absolutamente!","f) Otro (especifica) Pulpo a la Gallega","a) Tiramisú, b) Flan","Todo estuvo perfecto. El pulpo a la gallega es mi plato favorito. ¡Excelente restaurante!"
"2024-01-31 14:00:00","b) Femenino","a) Menos de 18 años","c) Semanal","d) 4","d) Buena","e) Cumplió totalmente","c) Aceptable","c) Neutral","d) Satisfactoria","e) ¡Claro, absolutamente!","b) Paella de Mariscos, d) Tacos de Pescado","a) Tiramisú, c) Helado","La paella de mariscos fue increíble. El servicio estuvo bien, pero la presentación de los platos fue excepcional."
"2024-01-31 14:15:00","a) Masculino","c) 26-35 años","a) Primera vez","c) 3","c) Aceptable","d) Cumplió","b) Lenta","c) Neutral","e) Muy satisfactoria","c) Tal vez","a) Filete de Pescado a la Parrilla, d) Tacos de Pescado","b) Flan, e) Frutas frescas","Buena experiencia para ser la primera vez. El servicio podría ser más rápido, pero la comida fue decente."
