"Timestamp","¿Con qué frecuencia limpias tu hogar?","¿Cuál es tu área favorita para limpiar en casa?","¿Qué producto de limpieza usas con más frecuencia actualmente?","¿Qué aspectos valoras en un producto de limpieza?","¿Qué características te gustaría ver en un nuevo producto de limpieza?","¿Tienes alguna preferencia específica en cuanto a la forma de aplicación?","¿Cuál es tu aroma preferido para productos de limpieza?","¿Prefieres productos de limpieza en envases reciclables?","¿Te gustaría que el producto fuera multiusos o específico para una tarea particular?","¿Cuál sería un rango de precio adecuado para un producto de limpieza de calidad?","¿Qué tamaño de envase encuentras más conveniente para tu uso regular?","¿Utilizas productos de limpieza específicos para áreas exteriores?","¿Tienes alguna sugerencia o preferencia adicional para mejorar la experiencia de uso del producto?"
"2024-01-31 12:01:00","Semanalmente","Cocina","Marca","Eficiencia, Fragancia","Ecológico, Aroma fresco","Rociador","Lavanda","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría un producto con acción desinfectante y aroma cítrico."
"2024-01-31 12:05:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Aroma fresco","Gel","Cítricos","Sí","Específico","$5 - $10","Pequeño","Sí","Más opciones de tamaños para adaptarse a diferentes necesidades."
"2024-01-31 12:10:00","Mensualmente","Sala","Otro","Eficiencia, Precio","Aroma fresco, Acción rápida","Toallitas","Frescura del océano","Sí","Multiusos","$15 - $20","Grande","No","Me gustaría que el envase sea fácil de reciclar."
"2024-01-31 12:15:00","Ocasionalmente","Dormitorio","Marca","Naturalidad, Precio","Ecológico, Aroma fresco","Rociador","Lavanda","Sí","Multiusos","$10 - $15","Mediano","Sí","Ninguna sugerencia adicional, el producto actual funciona bien."
"2024-01-31 12:20:00","Semanalmente","Cocina","Otro","Precio","Desinfectante, Aroma fresco","Gel","Cítricos","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría que el producto se distribuyera en tiendas locales."
"2024-01-31 12:25:00","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Ecológico","Toallitas","Frescura del océano","Sí","Multiusos","Menos de $5","Pequeño","No","Sería genial tener opciones sin fragancia."
"2024-01-31 12:30:00","Mensualmente","Sala","Marca","Eficiencia, Fragancia","Aroma fresco, Acción rápida","Gel","Cítricos","No","Específico","$10 - $15","Mediano","No","Me gustaría que el producto fuera biodegradable."
"2024-01-31 12:35:00","Diariamente","Dormitorio","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Lavanda","Sí","Multiusos","$15 - $20","Grande","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
"2024-01-31 12:40:00","Semanalmente","Cocina","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Toallitas","Cítricos","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría que el producto tuviera una aplicación sin enjuague."
"2024-01-31 12:45:00","Diariamente","Baño","Otro","Precio","Ecológico, Aroma fresco","Rociador","Frescura del océano","Sí","Multiusos","$10 - $15","Mediano","No","El envase debe ser fácil de abrir y cerrar."
"2024-01-31 12:50:00","Mensualmente","Sala","Productos caseros","Naturalidad, Precio","Aroma fresco, Acción rápida","Gel","Pino","Sí","Específico","$15 - $20","Grande","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 12:55:00","Ocasionalmente","Dormitorio","Marca","Fragancia, Precio","Desinfectante, Aroma fresco","Toallitas","Lavanda","Sí","Multiusos","$5 - $10","Pequeño","No","Me gustaría un programa de fidelidad para clientes frecuentes."
